(2, 2, 2, 2, 2, 2) 16
(2, 2, 2, 2, 2, 4) 12
(2, 2, 2, 2, 4, 2) 13
(2, 2, 2, 2, 4, 4) 31
(2, 2, 2, 4, 2, 2) 37
(2, 2, 2, 4, 2, 4) 16
(2, 2, 2, 4, 4, 2) 23
(2, 2, 2, 4, 4, 4) 27
(2, 2, 4, 2, 2, 2) 37
(2, 2, 4, 2, 2, 4) 23
(2, 2, 4, 2, 4, 2) 11
(2, 2, 4, 2, 4, 4) 30
(2, 2, 4, 4, 2, 2) 28
(2, 2, 4, 4, 2, 4) 11
(2, 2, 4, 4, 4, 2) 16
(2, 2, 4, 4, 4, 4) 31
(2, 4, 2, 2, 2, 2) 13
(2, 4, 2, 2, 2, 4) 21
(2, 4, 2, 2, 4, 2) 14
(2, 4, 2, 2, 4, 4) 11
(2, 4, 2, 4, 2, 2) 11
(2, 4, 2, 4, 2, 4) 1
(2, 4, 2, 4, 4, 2) 3
(2, 4, 2, 4, 4, 4) 16
(2, 4, 4, 2, 2, 2) 23
(2, 4, 4, 2, 2, 4) 4
(2, 4, 4, 2, 4, 2) 3
(2, 4, 4, 2, 4, 4) 23
(2, 4, 4, 4, 2, 2) 16
(2, 4, 4, 4, 2, 4) 21
(2, 4, 4, 4, 4, 2) 16
(2, 4, 4, 4, 4, 4) 12
(4, 2, 2, 2, 2, 2) 12
(4, 2, 2, 2, 2, 4) 16
(4, 2, 2, 2, 4, 2) 21
(4, 2, 2, 2, 4, 4) 16
(4, 2, 2, 4, 2, 2) 23
(4, 2, 2, 4, 2, 4) 3
(4, 2, 2, 4, 4, 2) 4
(4, 2, 2, 4, 4, 4) 23
(4, 2, 4, 2, 2, 2) 16
(4, 2, 4, 2, 2, 4) 3
(4, 2, 4, 2, 4, 2) 1
(4, 2, 4, 2, 4, 4) 11
(4, 2, 4, 4, 2, 2) 11
(4, 2, 4, 4, 2, 4) 14
(4, 2, 4, 4, 4, 2) 21
(4, 2, 4, 4, 4, 4) 13
(4, 4, 2, 2, 2, 2) 31
(4, 4, 2, 2, 2, 4) 16
(4, 4, 2, 2, 4, 2) 11
(4, 4, 2, 2, 4, 4) 28
(4, 4, 2, 4, 2, 2) 30
(4, 4, 2, 4, 2, 4) 11
(4, 4, 2, 4, 4, 2) 23
(4, 4, 2, 4, 4, 4) 37
(4, 4, 4, 2, 2, 2) 27
(4, 4, 4, 2, 2, 4) 23
(4, 4, 4, 2, 4, 2) 16
(4, 4, 4, 2, 4, 4) 37
(4, 4, 4, 4, 2, 2) 31
(4, 4, 4, 4, 2, 4) 13
(4, 4, 4, 4, 4, 2) 12
(4, 4, 4, 4, 4, 4) 16
